Zone_ID,Image_Source_ID,Image_Type,NDVI,NDRE,RGB_Damage_Score,UAV_Timestamp,N,P,K,Moisture,pH,Temperature,Humidity,NDI_Label,PDI_Label,Semantic_Tag,Action_Suggested,Energy_Consumed_mAh,Latency_ms,Current_Node,Migrated_To,Migration_Required,Migration_Timestamp
Z4,IMG_Z4_202508071530.jpg,Multispectral,0.77,0.59,,08/07/2025 15:30,50,16,89,28.81,7.22,18.2,32.57,Medium,Medium,"Pest-risk, N-deficiency",Monitor,8.49,11.79,Edge-Node-A,Edge-Node-A,No,
Z6,IMG_Z6_202510011440.jpg,RGB,,,0.76,10/01/2025 14:40,43,37,51,16.77,7.67,41.54,45.82,Low,Low,"P-deficiency, Pest-risk",Apply Pesticide,5.78,10.24,Cloud-Node-2,Cloud-Node-2,No,
Z1,IMG_Z1_202507020335.jpg,Multispectral,0.66,0.53,,07/02/2025 3:35,18,10,57,18.98,5.56,21.61,44.16,Low,High,"N-deficiency, P-deficiency",Apply Fertilizer,3.11,48.73,Cloud-Node-1,Cloud-Node-1,No,
Z7,IMG_Z7_202509230500.jpg,RGB,,,0.94,9/23/2025 5:00,17,14,24,12.45,6.29,23.05,84.11,Medium,Medium,"Healthy, Healthy",Apply Fertilizer,2.7,80.93,Cloud-Node-1,Cloud-Node-1,No,
Z8,IMG_Z8_202504262045.jpg,Multispectral,0.8,0.31,,4/26/2025 20:45,28,33,44,29.31,7.48,34.11,43.62,Low,Low,"Pest-risk, N-deficiency",Monitor,7.96,85.41,Edge-Node-B,Edge-Node-B,No,
Z6,IMG_Z6_202504080530.jpg,RGB,,,0.86,04/08/2025 5:30,44,9,76,24.7,7.5,35.64,43.32,Medium,Low,"P-deficiency, N-deficiency",Apply Fertilizer,1.78,86.44,Edge-Node-B,Cloud-Node-1,Yes,04/08/2025 5:31
Z5,IMG_Z5_202509050405.jpg,RGB,,,0.61,09/05/2025 4:05,64,24,33,25.74,7.59,38.37,34.48,Medium,Low,"Pest-risk, Pest-risk",Apply Fertilizer,7.58,82.1,Cloud-Node-2,Cloud-Node-2,No,
Z1,IMG_Z1_202510011250.jpg,Multispectral,0.69,0.35,,10/01/2025 12:50,27,29,44,11.7,5.04,27.27,60.16,Medium,Medium,"Pest-risk, K-deficiency",Apply Fertilizer,5.9,80.88,Cloud-Node-2,Cloud-Node-2,No,
Z9,IMG_Z9_202507060930.jpg,RGB,,,0.9,07/06/2025 9:30,53,30,60,27.29,5.82,21.77,40.48,Medium,Medium,"Pest-risk, P-deficiency",Monitor,2.84,14.71,Cloud-Node-2,Cloud-Node-2,No,
Z1,IMG_Z1_202509252155.jpg,Multispectral,0.41,0.5,,9/25/2025 21:55,33,27,33,14.55,5.28,19.97,89.61,Medium,Medium,"P-deficiency, K-deficiency",Monitor,6.54,95.52,Cloud-Node-1,Cloud-Node-1,No,
Z10,IMG_Z10_202505061510.jpg,Multispectral,0.3,0.55,,05/06/2025 15:10,73,33,29,14.04,7.05,22.43,51.68,Medium,High,"N-deficiency, K-deficiency",Monitor,3.93,11.58,Edge-Node-B,Edge-Node-B,No,
Z6,IMG_Z6_202508012235.jpg,Multispectral,0.29,0.3,,08/01/2025 22:35,37,8,24,16.92,5.11,18.19,91.18,Medium,Low,"Healthy, Pest-risk",Apply Fertilizer,2.45,15.48,Edge-Node-A,Edge-Node-A,No,
Z10,IMG_Z10_202509070105.jpg,RGB,,,0.03,09/07/2025 1:05,46,33,73,13.05,6.42,36.6,61.01,Medium,Low,"Healthy, K-deficiency",Irrigate,3.92,58.86,Cloud-Node-1,Cloud-Node-1,No,
Z3,IMG_Z3_202507170635.jpg,RGB,,,0.35,7/17/2025 6:35,59,14,88,30.61,6.06,27.39,90.03,Low,Low,"P-deficiency, K-deficiency",Apply Pesticide,9.02,53.35,Edge-Node-B,Edge-Node-B,No,
Z4,IMG_Z4_202504072030.jpg,Multispectral,0.34,0.55,,04/07/2025 20:30,30,39,55,10.81,7.77,38.09,45.43,Medium,Low,"P-deficiency, Pest-risk",Monitor,7.93,16.85,Cloud-Node-1,Cloud-Node-1,No,
Z6,IMG_Z6_202508281725.jpg,RGB,,,0.01,8/28/2025 17:25,60,27,55,18.27,7.2,23.85,30.07,Medium,Low,"N-deficiency, P-deficiency",Apply Pesticide,1.3,45.84,Cloud-Node-1,Cloud-Node-1,No,
